notice_id,errors,flags,got_no_persons,got_nothing,labels,officers
110361,,,1,,,1
111321,,,1,,1,1
111648,,4,1,,2,2
112137,,,1,,1,
112338,,,,1,,
112459,,1,1,,,
112511,,,,1,,
112717,,8,1,,3,2
112985,,,,1,,
114920,,,,1,,
115890,,,,1,,
117071,,1,1,,1,
117095,,1,1,,,
117418,,,1,,2,
117755,,,1,,1,
119148,,,,1,,
119579,,4,1,,1,1
119786,1,,1,,1,
120636,,,,1,,
122340,,1,1,,1,2
122866,,2,1,,1,1
123547,,1,1,,,1
123586,,3,1,,1,2
123854,,,,1,,
124187,,,,1,,
126382,,,,1,,
126945,,,,1,,
127871,,1,1,,,
128266,,1,1,,1,1
128516,,1,1,,,1
129059,,,1,,1,
129172,,4,1,,1,1
129270,,,1,,1,
129383,,1,1,,,
129709,,1,1,,,
130542,,,1,,,2
131821,,1,1,,,
132745,,,,1,,
133109,,,,1,,
133328,,,1,,2,1
134529,,3,1,,1,2
138770,,,,1,,
139175,,,,1,,
139544,,,,1,,
139925,,2,1,,,1
140564,,,,1,,
141336,,,1,,1,
141432,,1,1,,,
141516,,,,1,,
141805,,1,1,,1,2
141949,,2,1,,,
146799,,,1,,1,
148679,,,1,,1,
148905,,1,1,,,
149620,,1,1,,,2
150077,,1,1,,,1
151063,,,1,,1,
151319,1,4,1,,,
152058,,3,1,,1,1
153267,,4,1,,3,1
153536,,,1,,1,
153677,,,,1,,
153699,,,,1,,
154419,,4,1,,,1
154974,,,,1,,
155377,,1,1,,1,
155675,,,,1,,
158334,,,,1,,
159168,,,,1,,
159510,,,1,,1,
161383,,,,1,,
162077,,,1,,1,
162537,,3,1,,2,3
162732,,1,1,,,
163103,,1,1,,,
165002,,,1,,,1
165353,,5,1,,3,1
165533,,2,1,,1,1
165669,,1,1,,,
166632,,3,1,,1,1
166993,,,,1,,
167565,,,,1,,
168497,,,,1,,
169949,,,,1,,
170344,,,,1,,
170734,,,,1,,
170932,,,1,,,1
173037,,1,1,,1,
173208,,1,1,,1,
173217,,,,1,,
173615,,,,1,,
173961,,,1,,1,
174053,,,,1,,
174089,,1,1,,1,
175509,,,,1,,
175794,,,1,,1,1
176536,,,,1,,
176627,,,1,,1,
176954,,1,1,,,
176966,,,,1,,
177535,,,,1,,
179276,,4,1,,1,1
179700,,,,1,,
179899,,,,1,,
180337,,3,1,,3,1
180674,,5,1,,3,1
182339,,,,1,,
183844,,,1,,,3
183909,,1,1,,,
184605,,,1,,1,
185030,,,1,,,2
185122,,,,1,,
186088,,3,1,,1,
187649,,1,1,,,2
189034,,,,1,,
189686,,,1,,,2
190572,,,1,,1,
192776,,,,1,,
195918,,,,1,,
196051,,2,1,,1,1
197336,,4,1,,1,2
197959,,2,1,,1,
199704,,,1,,1,
200089,,2,1,,1,
200295,,,,1,,
200475,,,,1,,
201028,,5,1,,3,1
201255,,1,1,,,1
202920,,,,1,,
205001,,7,1,,1,2
205337,,,1,,,2
206989,,,,1,,
207703,,,,1,,
209000,,1,1,,1,
209736,,2,1,,,2
